SubjectID,GMV,WMV,sGMV,Ventricles
sub-67_T1w,544604.111157,475643.0,61014.0,19391.0
sub-68_T1w,484318.945358,457814.0,56812.0,13693.0
sub-69_T1w,563277.63892,511792.0,63408.0,25870.0
sub-70_T1w,570431.353028,481820.0,60303.0,22694.0
sub-72_T1w,491224.510977,428850.0,53046.0,7301.0
sub-73_T1w,545523.732604,469582.0,62095.0,15208.0
sub-74_T1w,466623.302997,413642.0,54892.0,6203.0
sub-75_T1w,490813.927122,377583.0,50839.0,16273.0
sub-76_T1w,591693.248862,512089.0,60474.0,12271.0
sub-77_T1w,542873.036284,488986.0,64900.0,10499.0
sub-78_T1w,461070.375493,422435.0,55056.0,6141.0
sub-79_T1w,579306.487275,612479.0,72429.0,7292.0
sub-80_T1w,540209.709192,483383.0,65489.0,8045.0
sub-81_T1w,535337.9759,517401.0,61343.0,32892.0
sub-82_T1w,522316.532803,453267.0,65983.0,11199.0
sub-83_T1w,485680.045067,469566.0,58663.0,7544.0
sub-84_T1w,448622.671683,359823.0,49351.0,20057.0
sub-85_T1w,500221.102799,437152.0,56382.0,7328.0
sub-86_T1w,508861.821476,463897.0,56585.0,13482.0
sub-87_T1w,516616.279581,597613.0,67598.0,12225.0
sub-88_T1w,453995.345699,431735.0,50502.0,13299.0
sub-89_T1w,527538.520373,444026.0,59837.0,8138.0
sub-90_T1w,579218.94294,534573.0,64506.0,18462.0
sub-91_T1w,532114.082859,497773.0,59208.0,13442.0
sub-92_T1w,574463.503367,500902.0,63930.0,16896.0
sub-93_T1w,473009.031091,419864.0,53064.0,23352.0
sub-94_T1w,478504.093689,497845.0,60193.0,14106.0
sub-95_T1w,461609.612449,393363.0,55821.0,10142.0
sub-96_T1w,474799.139138,366673.0,56001.0,8690.0
sub-97_T1w,522434.44987,449306.0,68202.0,10032.0
sub-99_T1w,605249.996953,519471.0,62565.0,9348.0
